Length	Height	Width	SPL
2	2	2	97.81158
9	2	2	97.11333
16	2	2	97.77227
23	2	2	97.21594
30	2	2	96.779
32	2	2	97.2593
2	10	15	101.8455
9	10	15	97.45715
16	10	15	97.21743
23	10	15	97.30244
30	10	15	97.3941
32	10	15	98.08642
2	18	28	99.09319
9	18	28	97.99259
16	18	28	97.01579
23	18	28	98.28153
30	18	28	97.59011
32	18	28	98.2993
